"AÑO","CURSO","MATERIA","GENERO","EDAD","GRUPO ETNICO","ZONA DE RESIDENCIA","TIPO DE DOCUMENTO","GRUPO POBLACIONAL"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","31","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","57","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","45","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","18","NO SABE NO RESPONDE","URBANA","CEDULA DE CIUDADANA","LGTBIQ+"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","21","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","35","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","21","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","45","AFRODESCENDIENTES","URBANA","REGISTRO CIVIL","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","65","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","19","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","16","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","19","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","19","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","23","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","54","INDIGENA","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","56","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 2","MUJER","63","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","18","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","31","NO SABE NO RESPONDE","URBANA","CEDULA DE CIUDADANA","NO SABE NO RESPONDE"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","57","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","29","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","20","NINGUNO","RURAL","CEDULA DE CIUDADANA","NO SABE NO RESPONDE"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","79","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","67","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","34","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","66","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","57","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","60","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","NO BINARIO","17","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NO SABE NO RESPONDE"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","18","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","16","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","27","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","36","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","70","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","78","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","29","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","17","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","61","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","27","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","40","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","38","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","21","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","35","NINGUNO","URBANA","PERMISO ESPECIAL DE PERMANENCIA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","17","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","20","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","63","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","21","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","HOMBRE","58","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 2","HOMBRE","51","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 2","MUJER","25","RAIZAL","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 3","MUJER","39","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","32","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","48","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","32","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 2","MUJER","36","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","15","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","17","NINGUNO","URBANA","TARJETA DE IDENTIDAD","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","HOMBRE","39","AFRODESCENDIENTES","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","26","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","59","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","43","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 2","MUJER","35","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","28","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","25","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","31","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","61","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","25","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","ARTES PLASTICAS","CICLO DE FORMACION 1","MUJER","17","NO SABE NO RESPONDE","RURAL","TARJETA DE IDENTIDAD","CAMPESINO"
"2,024","DANZA","CICLO DE FORMACION 3","MUJER","63","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","DANZA","CICLO DE FORMACION 2","MUJER","67","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","DANZA","CICLO DE FORMACION 3","HOMBRE","18","INDIGENA","RURAL","CÉDULA DE EXTRANJERÍA","NO SABE NO RESPONDE"
"2,024","DANZA","CICLO DE FORMACION 3","MUJER","81","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","DANZA","CICLO DE FORMACION 3","MUJER","54","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","DANZA","CICLO DE FORMACION 3","MUJER","53","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","DANZA","CICLO DE FORMACION 3","MUJER","19","NINGUNO","URBANA","CEDULA DE CIUDADANA","NO SABE NO RESPONDE"
"2,024","TEATRO","CICLO DE FORMACION 2","MUJER","18","INDIGENA","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","HOMBRE","23","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 2","MUJER","27","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","33","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","HOMBRE","21","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","18","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","20","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 2","MUJER","21","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 1","HOMBRE","22","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","27","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 1","HOMBRE","18","NO SABE NO RESPONDE","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 1","MUJER","18","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","19","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","27","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","19","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","21","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 2","HOMBRE","32","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","HOMBRE","22","NO SABE NO RESPONDE","RURAL","CEDULA DE CIUDADANA","LGTBIQ+"
"2,024","TEATRO","CICLO DE FORMACION 1","MUJER","23","NINGUNO","URBANA","CEDULA DE CIUDADANA","DISCAPACIDAD COGNITIVA INTELECTUAL LEVE"
"2,024","TEATRO","CICLO DE FORMACION 1","MUJER","18","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 1","NO BINARIO","28","NINGUNO","RURAL","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 3","MUJER","18","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 2","MUJER","40","NINGUNO","URBANA","CEDULA DE CIUDADANA","NINGUNO"
"2,024","TEATRO","CICLO DE FORMACION 2","HOMBRE","17","NINGUNO","URBANA","TARJETA DE IDENTIDAD","VÍCTIMA DEL CONFLICTO ARMADO"
